FID,t_nr,vejnavn,beskrivelse,husnummer,taellested_type,kode_type,spolestation_type,ogc_fid,wkb_geometry
taellestationer.987,9733,JERNBANE ALLÉ,Ophold,,Øvrige,100.0,,987,POINT (12.489174387018648 55.688820007557894)
taellestationer.988,9734,REMISEPARKEN,Ophold,,Øvrige,100.0,,988,POINT (12.596685559736285 55.6519041730378)
taellestationer.989,9735,CHRISTIANSHAVNS TORV,OPHOLD,,Øvrige,100.0,,989,POINT (12.591399234902557 55.67208610845518)
taellestationer.990,9736,LERGRAVSVEJ,Mellem Nyrnberggade Sternberggade,35,Øvrige,100.0,,990,POINT (12.620690722006243 55.663334763749056)
taellestationer.991,9737,LERGRAVSVEJ,Mellem Strandlodsvej og Ved Amagerbanen,57,Øvrige,100.0,,991,POINT (12.625833685766581 55.664226053201546)
taellestationer.992,9738,AMALIEHAVEN ,OPHOLD,,Øvrige,100.0,,992,POINT (12.595663100726465 55.68359680218566)
taellestationer.993,9739,ELMEGADE,OPHOLD,8,Øvrige,100.0,,993,POINT (12.558655890789284 55.68987084124193)
taellestationer.994,9740,KALVEBOD BRYGGE,OPHOLD,3,Øvrige,100.0,,994,POINT (12.574368599937502 55.668627659726894)
taellestationer.995,9741,BEN WEBSTERS VEJ,OPHOLD,70,Øvrige,100.0,,995,POINT (12.552472184200443 55.646488072090605)
taellestationer.996,9742,LANGELINIEKAJ,OPHOLD,5,Øvrige,100.0,,996,POINT (12.60021721543456 55.695607663055064)
taellestationer.997,9743,LIVA WEELS PLADS,OPHOLD,,Øvrige,100.0,,997,POINT (12.546034576834824 55.66545124153596)
taellestationer.998,9744,SØREN KIERKEGAARDS PLADS,OPHOLD,,Øvrige,100.0,,998,POINT (12.581350502286838 55.672858935851416)
taellestationer.999,9745,VANLØSE TORV,OPHOLD,3,Øvrige,100.0,,999,POINT (12.490567286731018 55.68768484631248)
taellestationer.1000,9746,YRSA PLADS,OPHOLD,,Øvrige,100.0,,1000,POINT (12.558022801349061 55.66533049187554)
taellestationer.1001,9747,CHRISTIANSHAVNS KANAL,OPHOLD,42,Øvrige,100.0,,1001,POINT (12.592113039700232 55.673093746257315)
taellestationer.1002,9748,CIRKELINE PLADS,OPHOLD,,Øvrige,100.0,,1002,POINT (12.5438522420634 55.666083785880986)
taellestationer.1003,9749,CHRISTIANSHAVNS KANAL VED CIRKELBROEN,OPHOLD,,Øvrige,100.0,,1003,POINT (12.583452479071905 55.67215227742011)
taellestationer.1004,9750,FISKEBROEN,OPHOLD,,Øvrige,100.0,,1004,POINT (12.550934963412377 55.64327458559692)
taellestationer.1005,9751,MEINUNGSGADE,trafik,26,Øvrige,100.0,,1005,POINT (12.554390877820339 55.69240089987189)
taellestationer.1006,9752,CIRKELBROEN,,,Øvrige,100.0,,1006,POINT (12.583665646695064 55.67239507294161)
taellestationer.1007,9753,BAGGESENSGADE,nordvest for Blågårdsgade,22,Øvrige,100.0,,1007,POINT (12.558518703978153 55.68741850218589)
taellestationer.1008,9754,GRIFFENFELDSGADE,Syd for Nørrebrogade,,Øvrige,100.0,,1008,POINT (12.555653020030718 55.68956316091885)
taellestationer.1009,9755,GULDBERGSGADE,sydøst for Meinungsgade,35,Øvrige,100.0,,1009,POINT (12.556283286966984 55.692601813627356)
taellestationer.1010,9756,PEBLINGE DOSSERING,syd for Nørrebrogade,4,Øvrige,100.0,,1010,POINT (12.562109509366445 55.686936872357926)
taellestationer.1011,9757,PRINSESSE CHARLOTTES GADE,Mellem Meinungsgade og Frederik VII's Gade,8,Øvrige,100.0,,1011,POINT (12.553746288121214 55.69235153845134)
taellestationer.1012,9758,SLOTSGADE,sydvest for Nørrebrogade,2,Øvrige,100.0,,1012,POINT (12.557935376577504 55.68866559897121)
taellestationer.1013,9759,X_KORSGADE_BLÅGÅRDSGADE,KRYDSTÆLLING,,Øvrige,101.0,,1013,POINT (12.557098861674573 55.68548872194574)
