FID,t_nr,vejnavn,beskrivelse,husnummer,taellested_type,kode_type,spolestation_type,ogc_fid,wkb_geometry
taellestationer.1,1,H.C. ANDERSENS BOULEVARD,sydøst for Jarmers Plads,4,Andre faste tællinger,3.0,,1,POINT (12.565491397230991 55.677960848602766)
taellestationer.2,3,BREDGADE,nord for Kongens Nytorv,4,Andre faste tællinger,3.0,,2,POINT (12.587600106423729 55.681163602385205)
taellestationer.3,4,CHRISTIAN D. IV'S BRO,syd for Niels Juels Gade,,Andre faste tællinger,3.0,,3,POINT (12.587194935687066 55.67556235261653)
taellestationer.4,5,DRONNING LOUISES BRO,øst for Nørrebrogade,,Søsnittet,2.0,,4,POINT (12.563772380225611 55.686726138477155)
taellestationer.5,6,KAMPMANNSGADE,ud for søerne,,Søsnittet,2.0,,5,POINT (12.557875203105125 55.677961651406)
taellestationer.6,7,ELLEBJERGVEJ,øst for Poppelstykket,138,Andre faste tællinger,3.0,Spolestation,6,POINT (12.510990440718215 55.650502831976276)
taellestationer.7,8,ENGLANDSVEJ,nord for Følfodvej,229,Kommunegrænsen,1.0,Spolestation,7,POINT (12.59984563626354 55.63848509063262)
taellestationer.8,9,FARVERGADE,nordøst for Rådhuspladsen,6,Andre faste tællinger,3.0,,8,POINT (12.572626735624134 55.6759965258084)
taellestationer.9,11,FREDERIKSBORGGADE,øst for Nørre Voldgade,10,Andre faste tællinger,3.0,,9,POINT (12.572966838603646 55.68308816561314)
taellestationer.10,12,FREDERIKSBORGGADE,sydøst for Søtorvet,50,Andre faste tællinger,3.0,,10,POINT (12.566369474794927 55.685708418286204)
taellestationer.11,13,FREDERIKSBORGVEJ,syd for Gladsaxevej,221,Kommunegrænsen,1.0,,11,POINT (12.525153439020631 55.72710588532446)
taellestationer.12,14,FREDERIKSSUNDSVEJ,vest for Mørkhøjvej,355A,Kommunegrænsen,1.0,,12,POINT (12.467797647002806 55.71312181110101)
taellestationer.13,16,GL. KØGE LANDEVEJ,syd for Vigerslevvej,220A,Kommunegrænsen,1.0,,13,POINT (12.501326512367644 55.64253657237924)
taellestationer.14,17,GOTHERSGADE,sydøst for Søtorvet,160 eller 175,Andre faste tællinger,3.0,,14,POINT (12.566545050457883 55.68641228608008)
taellestationer.15,18,GRØNDALS PARKVEJ,nord for Peter Bangs Vej,,Andre faste tællinger,3.0,,15,POINT (12.487389543509753 55.67777162433822)
taellestationer.16,19,GYLDENLØVESGADE,ud for Søpavillonen,24,Søsnittet,2.0,,16,POINT (12.558879052393788 55.68162962198664)
taellestationer.17,20,HARESKOVVEJ,nordvest for Mosesvinget (Hillerødmotorvejen),,Kommunegrænsen,1.0,,17,POINT (12.50390557494531 55.71341711589515)
taellestationer.18,21,HILLERØDGADE,vest for Borups Allé,112,Andre faste tællinger,3.0,,18,POINT (12.524881062593547 55.69669617851435)
taellestationer.19,23,JAGTVEJ,syd for Nørrebrogade,69,Andre faste tællinger,3.0,Spolestation,19,POINT (12.548166594681598 55.69376045384262)
taellestationer.20,24,JYLLINGEVEJ,vest for Tudskærvej,125,Kommunegrænsen,1.0,,20,POINT (12.467325933905835 55.691539476489886)
taellestationer.21,25,KALVEBOD BRYGGE,sydvest for Bernstorffgade,24,Søsnittet,2.0,,21,POINT (12.571198004769101 55.66775457511373)
taellestationer.22,26,KNIPPELSBRO,nord for Torvegade,,Søsnittet,2.0,,22,POINT (12.586998878059134 55.67489294070495)
taellestationer.23,27,KRISTEN BERNIKOWS GADE,nordvest for Østergade,2,Andre faste tællinger,3.0,,23,POINT (12.582295655249021 55.67998567768589)
taellestationer.24,29,LANGEBRO,vest for Amager Boulevard,,Søsnittet,2.0,,24,POINT (12.578765785919437 55.67031384691938)
taellestationer.25,31,LYNGBYVEJ,Motorvejen,144,Kommunegrænsen,1.0,,25,POINT (12.556679854965623 55.71896950142807)
taellestationer.26,32,NØRRE ALLÉ,syd for Universitetsparken,63,Andre faste tællinger,3.0,,26,POINT (12.562227745479044 55.7019629765)
taellestationer.27,33,NØRREGADE,sydøst for Nørre Voldgade,49,Andre faste tællinger,3.0,,27,POINT (12.570985593756626 55.68210595859012)
taellestationer.28,34,NØRRE VOLDGADE,nordøst for Jarmers Plads,6,Andre faste tællinger,3.0,,28,POINT (12.566473004136622 55.67933661489678)
taellestationer.29,36,ROSKILDEVEJ,ud for Damhussøen,213,Kommunegrænsen,1.0,Spolestation,29,POINT (12.476224094045238 55.67272468616922)
taellestationer.30,37,SJÆLLANDSBROEN,øst for Sluseholmen,,Andre faste tællinger,3.0,,30,POINT (12.55037701730951 55.64161980604731)
taellestationer.31,40,SLOTSHERRENSVEJ,ved Islev St.,139,Kommunegrænsen,1.0,,31,POINT (12.468136254513853 55.699934127007594)
taellestationer.32,41,ST. KONGENSGADE,nord for Kongens Nytorv,24,Andre faste tællinger,3.0,,32,POINT (12.58588760494014 55.68215429852454)
taellestationer.33,42,STRANDBOULEVARDEN,nord for Classensgade,13 eller 32,Søsnittet,2.0,,33,POINT (12.59041180278704 55.69918161400115)
taellestationer.34,43,STRANDVEJEN,nord for Dessaus Bouilevard,115,Kommunegrænsen,1.0,,34,POINT (12.577449894629323 55.72376879642319)
taellestationer.35,44,SØLVGADE,nordvest for Øster Farimagsgade,87,Andre faste tællinger,3.0,,35,POINT (12.573718038146385 55.68972460805692)
taellestationer.36,45,SØNDERKÆR,syd for Holbækmotorvejen,,Kommunegrænsen,1.0,,36,POINT (12.486583222113214 55.652261248901624)
taellestationer.37,46,TAGENSVEJ,sydøst for Tuborgvej,223,Andre faste tællinger,3.0,,37,POINT (12.535592125639816 55.7129139148999)
taellestationer.38,48,TUBORGVEJ,nord for Bispebjerg Parkallé,175,Andre faste tællinger,3.0,Spolestation,38,POINT (12.54135327458717 55.71952559110471)
taellestationer.39,49,TUBORGVEJ,sydvest for Lundedalsvej,157,Kommunegrænsen,1.0,,39,POINT (12.545781356308604 55.72254625776025)
taellestationer.40,52,VESTERBROGADE,sydvest for Rådhuspladsen,2B,Andre faste tællinger,3.0,,40,POINT (12.566772436603435 55.67536449909187)
taellestationer.41,53,VESTER FARIMAGSGADE,nord for Ved Vesterport,9,Andre faste tællinger,3.0,,41,POINT (12.561949332841799 55.67569778126639)
taellestationer.42,54,VIGERSLEV ALLÉ,øst for Toftegårds plads,38,Andre faste tællinger,3.0,Spolestation,42,POINT (12.518333385402117 55.661660987474484)
taellestationer.43,55,VIGERSLEV ALLÉ,sydvest for Vigerslevvej,362A,Kommunegrænsen,1.0,,43,POINT (12.485722160115413 55.65466783328451)
taellestationer.44,56,VIGERSLEVVEJ,syd for Langagervej,113,Andre faste tællinger,3.0,,44,POINT (12.48276964166911 55.662707115219774)
taellestationer.45,57,ØSTBANEGADE,nord for Classensgade,55,Søsnittet,2.0,,45,POINT (12.591555819239037 55.69948510717181)
taellestationer.46,58,ØSTER ALLÉ,øst for Nørre Allé,,Andre faste tællinger,3.0,,46,POINT (12.564264720961644 55.70566503366396)
taellestationer.47,59,ØSTERBROGADE,nord for Classensgade,50,Søsnittet,2.0,,47,POINT (12.579458199256935 55.69691875559136)
taellestationer.48,60,ØSTER SØGADE,nordøst for Gothersgade,8,Andre faste tællinger,3.0,,48,POINT (12.56624810830595 55.6870294647223)
taellestationer.49,61,ÅBOULEVARD,nordvest for Tømrergade,16,Andre faste tællinger,3.0,Spolestation,49,POINT (12.555942314686675 55.68340207576487)
taellestationer.50,62,AMAGERBROGADE,syd for Adriansvej,289,Kommunegrænsen,1.0,,50,POINT (12.616641064774116 55.64158255111832)
taellestationer.51,63,AMAGER STRANDVEJ,syd for Hedegårdsvej,275,Kommunegrænsen,1.0,,51,POINT (12.6433993037996 55.64613218742151)
taellestationer.52,64,AMALIEGADE,nord for Toldbodgade,35 eller 44,Andre faste tællinger,3.0,,52,POINT (12.595534022942191 55.68680821210824)
taellestationer.53,65,DAG HAMMERSKJÖLDS ALLÉ,sydøst for Øster Farimagsgade,33,Andre faste tællinger,3.0,,53,POINT (12.581091083219516 55.69527947913005)
taellestationer.54,67,ENGHAVEVEJ,nord for P. Knudsens Gade,200,Andre faste tællinger,3.0,,54,POINT (12.538661485092417 55.653769317811665)
taellestationer.55,68,FOLKE BERNADOTTES ALLE,syd for Indiakaj,45,Andre faste tællinger,3.0,,55,POINT (12.593690949745117 55.69501819561001)
taellestationer.56,69,FREDENSBRO,sydøst for Fredensgade 1,,Søsnittet,2.0,Spolestation,56,POINT (12.569850867961883 55.69174745981593)
taellestationer.57,70,GRØNNEMOSE ALLÉ,vest for Moseskellet,,Kommunegrænsen,1.0,,57,POINT (12.521733883992841 55.72256218294859)
taellestationer.58,71,HORSEBAKKEN,nord for Mosesvinget,88,Kommunegrænsen,1.0,,58,POINT (12.513114079444916 55.71814905021931)
taellestationer.59,72,INGERSLEVSGADE,syd for Tietgensgade,,Søsnittet,2.0,,59,POINT (12.565332825581406 55.66991364709634)
taellestationer.60,73,ISLEVHUSVEJ,nordøst for Islevholm,83,Kommunegrænsen,1.0,,60,POINT (12.457766659268664 55.70737545125913)
taellestationer.61,74,KASTRUPVEJ,syd for Backersvej,,Kommunegrænsen,1.0,,61,POINT (12.628381928777404 55.64432152835655)
taellestationer.62,75,KONGELUNDSVEJ,nord for Floridavej,54A,Kommunegrænsen,1.0,,62,POINT (12.588758493854064 55.63804014120544)
taellestationer.63,76,KRONPRINSESSEGADE,nord for Gothersgade,3 eller 6,Andre faste tællinger,3.0,,63,POINT (12.58108086012055 55.683062698333686)
taellestationer.64,78,MØRKHØJVEJ,nord for Frederikssundsvej,2,Kommunegrænsen,1.0,,64,POINT (12.46819404504644 55.7132313639512)
taellestationer.65,79,RYGÅRDS ALLÉ,syd for Lundeskovsvej,104,Kommunegrænsen,1.0,,65,POINT (12.559603740554358 55.72260799467511)
taellestationer.66,80,RYVANGS ALLÉ,syd for Callisensvej,76,Kommunegrænsen,1.0,,66,POINT (12.56855675418721 55.72939153042311)
taellestationer.67,81,SUMATRAVEJ,nord for Hedegårdsvej,72,Andre faste tællinger,3.0,,67,POINT (12.633782421132699 55.64549835419451)
taellestationer.68,82,SVANEMØLLEVEJ,syd for Callisensvej,77,Kommunegrænsen,1.0,,68,POINT (12.573936551791686 55.729067227070885)
taellestationer.69,83,SØLVGADE,øst for Øster Voldgade,38,Andre faste tællinger,3.0,,69,POINT (12.579650508668696 55.68714796433994)
taellestationer.70,84,SØLVGADE,øst for Stokholmsgade,81,Andre faste tællinger,3.0,,70,POINT (12.57542470526726 55.688920553716414)
taellestationer.71,86,TORVEGADE,nord for Christmas Møllers Plads,79,Andre faste tællinger,3.0,Spolestation,71,POINT (12.595155283710943 55.67013918711597)
taellestationer.72,87,UNIVERSITETSPARKEN,vest for Nørre Allé,4,Andre faste tællinger,3.0,,72,POINT (12.559332222920698 55.70296691826437)
taellestationer.73,90,ØSTER FARIMAGSGADE,nordøst for Gothersgade,3,Andre faste tællinger,3.0,,73,POINT (12.569931242548185 55.68628238348808)
taellestationer.74,91,ØSTER VOLDGADE,Syd for Sølvgade,5,Andre faste tællinger,3.0,,74,POINT (12.577468746205689 55.68702493169144)
taellestationer.75,92,AMAGER BOULEVARD,nordvest for Amagerbrogade,130 eller 133,Andre faste tællinger,3.0,,75,POINT (12.598300096744339 55.665713941728434)
taellestationer.76,94,AMAGERBROGADE,nord for Englandsvej,120,Andre faste tællinger,3.0,,76,POINT (12.607513666470583 55.65841463655809)
taellestationer.77,98,ANNEBERGVEJ,nord for bellahøjvej,4,Andre faste tællinger,3.0,,77,POINT (12.502642892345264 55.6963836643883)
taellestationer.78,99,BELLAHØJVEJ,syd for Frederikssundsvej,4A,Andre faste tællinger,3.0,,78,POINT (12.513850359733953 55.70553744521274)
taellestationer.79,103,BORGERGADE,nord for Gothersgade,2 eller 3,Andre faste tællinger,3.0,,79,POINT (12.583917949382638 55.682342911683)
taellestationer.80,109,DYBBØLSBRO,mellem Kalvebod brygge og Ingerslevsgade,,Andre faste tællinger,3.0,,80,POINT (12.559472902659955 55.66466355558433)
taellestationer.81,113,FREDERIKSBERGGADE,nordøst for Rådhuspladsen,27 eller 38,Andre faste tællinger,3.0,,81,POINT (12.569758490421108 55.676649880742794)
taellestationer.82,117,FREDERIKSSUNDSVEJ,øst for Frederiksborgvej,27,Andre faste tællinger,3.0,Spolestation,82,POINT (12.53403496752496 55.70169207674742)
taellestationer.83,120,FREDERIKSSUNDSVEJ,øst for Brønshøj Torv,173,Andre faste tællinger,3.0,,83,POINT (12.50001846846371 55.704494121741654)
taellestationer.84,121,FÆLLEDVEJ,nordøst for Nørrebrogade,3 eller 4,Andre faste tællinger,3.0,,84,POINT (12.559763803403113 55.688560264986556)
taellestationer.85,122,GAMMEL KONGEVEJ,vest for Stenogade,23,Søsnittet,2.0,,85,POINT (12.55600129928193 55.673820515913064)
taellestationer.86,123,GL. KØGE LANDEVEJ,syd for Toftegårds Plads,41,Andre faste tællinger,3.0,,86,POINT (12.514686665905314 55.65901039277443)
taellestationer.87,127,GOTHERSGADE,vest for kongens Nytorv,2 eller 5,Andre faste tællinger,3.0,,87,POINT (12.584855715162343 55.68156864607609)
taellestationer.88,129,BRYGGEBROEN,cykel- og gangbro,,Søsnittet,2.0,,88,POINT (12.56689481300105 55.661462968085374)
taellestationer.89,132,HILLERØDGADE,vest for Nattergalevej,70,Andre faste tællinger,3.0,,89,POINT (12.530645243896661 55.69678994927962)
taellestationer.90,136,HOLMENS KANAL,syd for Vingårdsstræde,5,Andre faste tællinger,3.0,,90,POINT (12.585843348490723 55.67852843757127)
taellestationer.91,138,HULGÅRDSVEJ,nord for Hillerødgade,12,Andre faste tællinger,3.0,,91,POINT (12.513161221781816 55.6966291592122)
taellestationer.92,141,JAGTVEJ,vest for Østerbrogade,229,Øvrige,9999.0,,92,POINT (12.576909782816543 55.70901162096818)
taellestationer.93,150,LILLE KONGENS GADE,vest for Kongens Nytorv,3 eller 4,Øvrige,9999.0,,93,POINT (12.584498120739484 55.67964892543147)
taellestationer.94,151,LYGTEN,syd for Drejervej,2B,Andre faste tællinger,3.0,,94,POINT (12.537459308663518 55.7020169949061)
taellestationer.95,157,NYHAVNSBROEN,nord for Holbergsgade,,Andre faste tællinger,3.0,,95,POINT (12.591300660819108 55.67965165246204)
taellestationer.96,161,ÅBUEN,Cykel- og gangbro over Ågade,,Andre faste tællinger,3.0,,96,POINT (12.545133225426333 55.68656014647924)
taellestationer.97,166,NØRREBROGADE,nordvest for Jagtvej,148 eller 157,Andre faste tællinger,3.0,,97,POINT (12.548233818149365 55.69473241036397)
taellestationer.98,170,NØRRE SØGADE,sydvest for Vendersgade,7,Andre faste tællinger,3.0,,98,POINT (12.564253839393878 55.68512426608228)
taellestationer.99,171,PETER BANGS VEJ,nord for Roskildevej,283,Andre faste tællinger,3.0,,99,POINT (12.483655812929133 55.67348017896397)
taellestationer.100,176,REBILDVEJ,sydvest for Dybendalsvej,20A,Andre faste tællinger,3.0,,100,POINT (12.504013044387477 55.69003800744337)
taellestationer.101,179,RØDE MELLEMVEJ,syd for Sundbyvestervej,93 eller 96,Andre faste tællinger,3.0,,101,POINT (12.591770173676526 55.6455995304294)
taellestationer.102,184,SLOTSHERRENSVEJ,nord for Jyllingevej,1,Andre faste tællinger,3.0,,102,POINT (12.493649088480334 55.69417606285983)
taellestationer.103,191,STORMGADE,nordøst for Vester Voldgade,12,Andre faste tællinger,3.0,,103,POINT (12.574110584391434 55.674890024211955)
taellestationer.104,194,STRANDVEJEN,syd for Callisensvej,,Andre faste tællinger,3.0,,104,POINT (12.576238173524654 55.72883669346158)
taellestationer.105,195,STRANDVÆNGET,ud for Roklubberne,42 eller 61,Andre faste tællinger,3.0,,105,POINT (12.586158262593989 55.7134572591352)
taellestationer.106,196,SVANEMØLLEBROEN,ved stationen,,Andre faste tællinger,3.0,,106,POINT (12.577435677118281 55.71617707772138)
taellestationer.107,202,TIETGENSBRO,Tietgensgade 39,39,Andre faste tællinger,3.0,,107,POINT (12.566819590887347 55.67121065622807)
taellestationer.108,203,TOFTEGÅRDSBROEN,øst for Valby Station,,Andre faste tællinger,3.0,,108,POINT (12.516229377445391 55.66375539412429)
taellestationer.109,204,TOMSGÅRDSVEJ,nord for Frederikssundsvej,3 eller 4,Andre faste tællinger,3.0,,109,POINT (12.521782649305086 55.706433033894726)
taellestationer.110,209,VALBY LANGGADE,øst for Toftegårds Allé,36 eller 41,Øvrige,9999.0,,110,POINT (12.517990477431232 55.66659477100225)
taellestationer.111,210,VALBY LANGGADE,øst for Nakskovvej,192,Andre faste tællinger,3.0,,111,POINT (12.49299949249948 55.669372008627406)
taellestationer.112,211,VALBY LANGGADE,vest for Vestervang,241 eller 260,Andre faste tællinger,3.0,,112,POINT (12.484198727622589 55.6717470318481)
taellestationer.113,212,VEJLANDS ALLÉ,vest for Røde Mellemvej,140,Andre faste tællinger,3.0,,113,POINT (12.59093007687944 55.64244705697282)
taellestationer.114,213,VERMLANDSGADE,øst for Herjedalsgade,31,Andre faste tællinger,3.0,,114,POINT (12.603379820948811 55.66841061405831)
taellestationer.115,217,VESTERGADE,sydvest for Larsbjørnsstræde,16,Øvrige,100.0,,115,POINT (12.569843702519954 55.677511428801424)
taellestationer.116,218,VESTER VOLDGADE,nordvest for Rådhuspladsen,14 eller 33,Andre faste tællinger,3.0,,116,POINT (12.56790105639275 55.67705949302894)
taellestationer.117,221,VIGERSLEV ALLÉ,vest for Enghavevej,1A,Andre faste tællinger,3.0,,117,POINT (12.539799661031395 55.662798150064916)
taellestationer.118,223,VIGERSLEV ALLÉ,øst for Retortvej,141 eller 156,Andre faste tællinger,3.0,,118,POINT (12.498195521008052 55.65984011004402)
taellestationer.119,226,VIGERSLEVVEJ,nordvest for Gammel Køge Landevej,350,Andre faste tællinger,3.0,,119,POINT (12.500896609491464 55.64311133835356)
taellestationer.120,228,ØRESUNDSVEJ,vest for Kastrupvej,49 eller 50,Andre faste tællinger,3.0,,120,POINT (12.612771649757862 55.66025793074074)
taellestationer.121,232,ØSTERBROGADE,syd for Jagtvej,154,Andre faste tællinger,3.0,,121,POINT (12.577422195632968 55.708661689376115)
taellestationer.122,234,ØSTER FARIMAGSGADE,sydvest for Lille Triangel,91,Andre faste tællinger,3.0,,122,POINT (12.579452594425002 55.69514262265697)
taellestationer.123,237,ØSTER SØGADE,sydvest for Lille Triangel,110,Andre faste tællinger,3.0,,123,POINT (12.578855552543384 55.69560114227423)
taellestationer.124,240,ÅLEKISTEVEJ,nord for Peter Bangs Vej,20,Andre faste tællinger,3.0,,124,POINT (12.486200462958804 55.67743527621773)
taellestationer.125,241,ÅLEKISTEVEJ,syd for Slotsherrensvej,231,Andre faste tællinger,3.0,,125,POINT (12.479075258756431 55.69726228711757)
taellestationer.126,242,ÅLHOLMVEJ,nord for Roskildevej,29 eller 30,Andre faste tællinger,3.0,,126,POINT (12.488670643823333 55.67303495187131)
taellestationer.127,245,AMAGERFÆLLEDVEJ,syd for Sundholmsvej,52,Andre faste tællinger,3.0,,127,POINT (12.593784307072148 55.662248404395434)
taellestationer.128,255,BLEGDAMSVEJ,sydvest for Trianglen,31,Andre faste tællinger,3.0,,128,POINT (12.575410288156492 55.69849550371401)
taellestationer.129,258,CLASSENSGADE,øst for Østerbrogade,10,Andre faste tællinger,3.0,,129,POINT (12.580652334787487 55.69647486192941)
taellestationer.130,259,EMDRUPVEJ,øst for Tuborgvej,,Andre faste tællinger,3.0,,130,POINT (12.546243454030456 55.721598775174456)
taellestationer.131,270,GOTHERSGADE,øst for Nørre Voldgade,115,Andre faste tællinger,3.0,,131,POINT (12.57460563591346 55.68431975124688)
taellestationer.132,275,HAMLETSGADE,nordøst for Nannasgade,12B,Andre faste tællinger,3.0,,132,POINT (12.545677974815252 55.70175857800836)
taellestationer.133,276,HAMMERICHSGADE,sydvest for H.C. Andersens Boulevard,14,Andre faste tællinger,3.0,,133,POINT (12.564288130384158 55.67808636826459)
taellestationer.134,298,LYRSKOVGADE,øst for Vester Fælledvej,36,Andre faste tællinger,3.0,,134,POINT (12.540641623735196 55.668409980196834)
taellestationer.135,300,LØNGANGSSTRÆDE,nordøst for Vester Voldgade,37,Andre faste tællinger,3.0,,135,POINT (12.57235226228712 55.67530894238091)
taellestationer.136,309,PEDER LYKKES VEJ,øst for Røde Mellemvej,105,Andre faste tællinger,3.0,,136,POINT (12.59536198748703 55.65495060723295)
taellestationer.137,332,STUDIESTRÆDE,øst for Vester Voldgade,40 eller 45,Andre faste tællinger,3.0,,137,POINT (12.567597366293825 55.67792132848996)
taellestationer.138,341,UPLANDSGADE,nordvest for Prags Boulevard,74,Andre faste tællinger,3.0,,138,POINT (12.617216032690918 55.66898489618832)
taellestationer.139,359,ÅRHUSGADE,vest for Østbanegade,101 -103,Andre faste tællinger,3.0,,139,POINT (12.587946590292239 55.706952223779865)
taellestationer.140,360,AMAGER STRANDVEJ,syd for Prags Boulevard,16,Andre faste tællinger,3.0,,140,POINT (12.62590480723698 55.66897282482195)
taellestationer.141,363,ISLANDS BRYGGE,,1B,Andre faste tællinger,3.0,Spolestation,141,POINT (12.579675756330357 55.669340001343464)
taellestationer.142,377,FIOLSTRÆDE,syd for Nørre Voldgade,33,Andre faste tællinger,3.0,,142,POINT (12.571810503303972 55.682443140865516)
taellestationer.143,381,SJÆLØR BOULEVARD,nord for Ellebjergvej,55,Andre faste tællinger,3.0,,143,POINT (12.527849082219777 55.650801347764805)
taellestationer.144,384,ROSKILDEVEJ,vest for Skellet,130,Andre faste tællinger,3.0,,144,POINT (12.492608916607374 55.67250052877472)
taellestationer.145,392,LANDLYSTVEJ,vest for Engdals Allé,,Kommunegrænsen,1.0,,145,POINT (12.477994530667285 55.660457372519545)
taellestationer.146,397,BLEGDAMSVEJ,sydvest for Fredensgade,38,Andre faste tællinger,3.0,,146,POINT (12.565580692425568 55.693248861751165)
taellestationer.147,414,HUSUMVEJ,nord for Tølløsevej,19,Andre faste tællinger,3.0,,147,POINT (12.48035566100755 55.69928706880268)
taellestationer.148,418,NØRRE ALLÉ,syd for Tagensvej,45,Andre faste tællinger,3.0,,148,POINT (12.561380136458872 55.695510760591)
taellestationer.149,445,VED STADSGRAVEN,nordøst for Amager Boulevard,13,Andre faste tællinger,3.0,,149,POINT (12.592889163763973 55.66795540243498)
taellestationer.150,467,RÅDVADSVEJ,vest for Frederiksborgvej,139 eller 140,Andre faste tællinger,3.0,,150,POINT (12.529691551199551 55.72091538640939)
taellestationer.151,477,ENGLANDSVEJ,syd for Sundbyvestervej,148,Andre faste tællinger,3.0,,151,POINT (12.598168598146444 55.64573286252509)
taellestationer.152,478,JAGTVEJ,øst for Lyngbyvej,177,Andre faste tællinger,3.0,,152,POINT (12.564623810964573 55.70672978751474)
taellestationer.153,479,TAGENSVEJ,nordvest for Jagtvej,40 eller 41,Andre faste tællinger,3.0,,153,POINT (12.553719497333727 55.699510009194356)
taellestationer.154,481,ÅGADE,vest for Jagtvej,114,Andre faste tællinger,3.0,,154,POINT (12.541090617224027 55.688052415440545)
taellestationer.155,482,GAMMEL JERNBANEVEJ,øst for Toftegårds Allé,43 eller 46,Andre faste tællinger,3.0,,155,POINT (12.51685576884347 55.66436389948572)
taellestationer.156,487,HOLBÆKMOTORVEJEN,vest for Sønderkær,,Kommunegrænsen,1.0,,156,POINT (12.48594673173026 55.652691059985884)
taellestationer.157,488,FOLEHAVEN,vest for Retortvej,59 eller 72,Andre faste tællinger,3.0,,157,POINT (12.501751508270816 55.65122258760668)
taellestationer.158,491,WEBERSGADE,nordvest for Øster Farimagsgade,10,Andre faste tællinger,3.0,,158,POINT (12.574212264238449 55.69012679161903)
taellestationer.159,492,SUNDHOLMSVEJ,øst for Amagerfælledvej,19,Andre faste tællinger,3.0,,159,POINT (12.595452191652948 55.66240294253049)
taellestationer.160,493,IRLANDSVEJ,nord for Følfodvej,121,Andre faste tællinger,3.0,,160,POINT (12.608134734098194 55.63934231769071)
taellestationer.161,495,HARALDSGADE,vest for Lyngbyvej,107 eller 110,Andre faste tællinger,3.0,,161,POINT (12.5604657712758 55.70982157671322)
taellestationer.162,496,BORUPS ALLÉ,syd for Frederikssundsvej,284,Andre faste tællinger,3.0,,162,POINT (12.51672139343764 55.705678034155845)
taellestationer.163,500,NORDRE FASANVEJ,syd for Glentevej,204,Andre faste tællinger,3.0,,163,POINT (12.53557557323897 55.69755033092607)
taellestationer.164,501,PETER BANGS VEJ,vest for Ålstrupvej,236,Andre faste tællinger,3.0,,164,POINT (12.490808761616476 55.67789716202433)
taellestationer.165,503,ÅKANDEVEJ,nord for Gadelandet,,Andre faste tællinger,3.0,,165,POINT (12.485614112913 55.71242208150967)
taellestationer.166,515,BISPEENGBUEN,for enden af Kronprinsesse Sofies Vej,,Andre faste tællinger,3.0,,166,POINT (12.53592596633234 55.692348347131066)
taellestationer.167,525,HØJBRO,,,Andre faste tællinger,3.0,,167,POINT (12.579939735989148 55.677591314688534)
taellestationer.168,542,LANDEMÆRKET,syd for Gothersgade,26,Andre faste tællinger,3.0,,168,POINT (12.57806138821691 55.683071108952426)
taellestationer.169,544,HØJE GLADSAXEVEJ,nordøst for Hareskovvej/Ruten,1A,Kommunegrænsen,1.0,,169,POINT (12.498664116225234 55.719972383404745)
taellestationer.170,549,GODTHÅBSVEJ,sydøst for Grøndals Parkvej,173,Andre faste tællinger,3.0,,170,POINT (12.516092552775039 55.69074885523283)
taellestationer.171,551,AMAGERBROGADE,Syd for Hollænderdybet,37,Andre faste tællinger,3.0,,171,POINT (12.600477890261363 55.664403275202645)
taellestationer.172,552,ØSTRIGSGADE,syd for Holmbladsgade,3,Andre faste tællinger,3.0,,172,POINT (12.61301675021509 55.666035935552635)
taellestationer.173,553,KASTRUPVEJ,sydøst for Øresundsvej,4 eller 5,Andre faste tællinger,3.0,,173,POINT (12.61432957477115 55.660151001524255)
taellestationer.174,554,ARTILLERIVEJ,syd for Rundholtsvej,,Andre faste tællinger,3.0,,174,POINT (12.567921797068287 55.65296383782269)
taellestationer.175,569,THORSHAVNSGADE,nord for Njalsgade,26,Andre faste tællinger,3.0,,175,POINT (12.578507155288403 55.66706629516953)
taellestationer.176,576,KRONPRINSESSEGADE,syd for Øster Voldgade,73 eller 96,Andre faste tællinger,3.0,,176,POINT (12.58692830837704 55.68999935140215)
taellestationer.177,577,NØRRE FARIMAGSGADE,syd for Ahlefeldtsgade,37,Andre faste tællinger,3.0,,177,POINT (12.565897767895901 55.682752689013064)
taellestationer.178,586,VALBY LANGGADE,vest for Toftegårds Allé,44B eller 49B,Andre faste tællinger,3.0,,178,POINT (12.516643587847545 55.66663612194725)
taellestationer.179,597,NYGÅRDSVEJ,vest for Fanøgade,30,Andre faste tællinger,3.0,,179,POINT (12.572831622728957 55.71210843439425)
taellestationer.180,601,HALMTORVET,nortdøst for Gasværksvej,28,Øvrige,100.0,,180,POINT (12.55909815040627 55.66983071116896)
taellestationer.181,602,ISTEDGADE,nordøst for Gasværksvej,25 eller 34,Søsnittet,2.0,,181,POINT (12.558283833286115 55.67068892477307)
taellestationer.182,603,VESTERBROGADE,vest for Stenogade,34,Søsnittet,2.0,,182,POINT (12.556505806528873 55.67248129681479)
taellestationer.183,604,AMAGERFÆLLEDVEJ,syd for Peter Vedels Gade,33,Andre faste tællinger,3.0,,183,POINT (12.594651767996583 55.66512445603815)
taellestationer.184,605,P. KNUDSENS GADE,nordøst for Borgm. Christiansens gade,53 eller 114,Andre faste tællinger,3.0,,184,POINT (12.52922501664723 55.65046366682452)
taellestationer.185,606,LERSØ PARKALLÉ,nordvest for Jagtvej,2 eller 25,Andre faste tællinger,3.0,,185,POINT (12.557563338737213 55.70411420197336)
