database_id,TS,VEJNAVN,ÅR,DATO,KATEGORI,SUM ANTAL,ÅDT,HDT
6693,8,ENGLANDSVEJ nord for Følfodvej,2023,2023-09-20,A+B: KØRETØJER I ALT,10406,12200.0,13600.0
6693,8,ENGLANDSVEJ nord for Følfodvej,2023,2023-09-20,CYKLER + KNALLERTER I ALT,1900,2000.0,2300.0
5479,13,Frederiksborgvej 221 s.f. Gladsaxevej ,2013,2013-06-04,A+B: KØRETØJER I ALT,12952,15200.0,17000.0
5479,13,Frederiksborgvej 221 s.f. Gladsaxevej ,2013,2013-06-04,CYKLER + KNALLERTER I ALT,5397,5600.0,6600.0
5610,13,FREDERIKSBORGVEJ 221 syd for Gladsaxevej ,2014,2014-05-07,A+B: KØRETØJER I ALT,12750,14900.0,16700.0
5610,13,FREDERIKSBORGVEJ 221 syd for Gladsaxevej ,2014,2014-05-07,CYKLER + KNALLERTER I ALT,3726,3800.0,4500.0
5756,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej ,2015,2015-04-15,A+B: KØRETØJER I ALT,13182,15400.0,17300.0
5756,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej ,2015,2015-04-15,CYKLER + KNALLERTER I ALT,4313,4400.0,5300.0
5828,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,2016-04-26,A+B: KØRETØJER I ALT,12740,14900.0,16700.0
5828,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,2016-04-26,CYKLER + KNALLERTER I ALT,3317,3400.0,4000.0
5953,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2017,2017-05-10,A+B: KØRETØJER I ALT,12942,15100.0,17000.0
5953,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2017,2017-05-10,CYKLER + KNALLERTER I ALT,3968,4100.0,4800.0
6065,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2018,2018-05-17,A+B: KØRETØJER I ALT,11728,13700.0,15400.0
6065,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2018,2018-05-17,CYKLER + KNALLERTER I ALT,5827,6000.0,7100.0
6217,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2019,2019-05-15,A+B: KØRETØJER I ALT,9282,10900.0,12200.0
6217,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2019,2019-05-15,CYKLER + KNALLERTER I ALT,5806,6000.0,7100.0
6338,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2020,2020-08-20,A+B: KØRETØJER I ALT,10465,12200.0,13700.0
6338,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2020,2020-08-20,CYKLER + KNALLERTER I ALT,5847,6000.0,7100.0
6437,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2021,2021-06-09,A+B: KØRETØJER I ALT,10377,12100.0,13600.0
6437,13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2021,2021-06-09,CYKLER + KNALLERTER I ALT,5844,6000.0,7100.0
6579,13,FREDERIKSBORGVEJ 221  syd for Gladsaxevej,2022,2022-05-11,A+B: KØRETØJER I ALT,10543,12300.0,13800.0
6579,13,FREDERIKSBORGVEJ 221  syd for Gladsaxevej,2022,2022-05-11,CYKLER + KNALLERTER I ALT,5481,5600.0,6700.0
6730,13,FREDERIKSBORGVEJ 221 syd for Gladsaxevej,2023,2023-05-23,A+B: KØRETØJER I ALT,10121,11800.0,13300.0
6730,13,FREDERIKSBORGVEJ 221 syd for Gladsaxevej,2023,2023-05-23,CYKLER + KNALLERTER I ALT,4824,5000.0,5900.0
4120,14,Frederikssundsvej 356 v.f. Mørkhøjvej ,2013,2013-09-25,A+B: KØRETØJER I ALT,16535,19300.0,21700.0
4120,14,Frederikssundsvej 356 v.f. Mørkhøjvej ,2013,2013-09-25,CYKLER + KNALLERTER I ALT,3445,3500.0,4200.0
5566,14,FREDERIKSSUNDSVEJ 356 vest for Mørkhøjvej ,2014,2014-05-08,A+B: KØRETØJER I ALT,16873,19700.0,22100.0
5566,14,FREDERIKSSUNDSVEJ 356 vest for Mørkhøjvej ,2014,2014-05-08,CYKLER + KNALLERTER I ALT,2964,3100.0,3600.0
5713,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej ,2015,2015-04-21,A+B: KØRETØJER I ALT,16658,19500.0,21800.0
5713,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej ,2015,2015-04-21,CYKLER + KNALLERTER I ALT,3499,3600.0,4300.0
5829,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,2016-04-26,A+B: KØRETØJER I ALT,16292,19100.0,21300.0
5829,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,2016-04-26,CYKLER + KNALLERTER I ALT,1816,1900.0,2200.0
5954,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,2017-08-24,A+B: KØRETØJER I ALT,15742,18400.0,20600.0
5954,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,2017-08-24,CYKLER + KNALLERTER I ALT,3061,3200.0,3700.0
6066,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,2018-05-23,A+B: KØRETØJER I ALT,15914,18600.0,20800.0
6066,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,2018-05-23,CYKLER + KNALLERTER I ALT,4131,4300.0,5000.0
6218,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,2019-05-09,A+B: KØRETØJER I ALT,16120,18900.0,21100.0
6218,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,2019-05-09,CYKLER + KNALLERTER I ALT,2290,2400.0,2800.0
6339,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,2020-08-25,A+B: KØRETØJER I ALT,16329,19100.0,21400.0
