række,database_id,TS,VEJNAVN,ÅR,DATO,RETNING,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,SUM ANTAL,ANTAL 7-8_PERCENT,ANTAL 8-9_PERCENT,ANTAL 9-10_PERCENT,ANTAL 10-11_PERCENT,ANTAL 11-12_PERCENT,ANTAL 12-13_PERCENT,ANTAL 13-14_PERCENT,ANTAL 14-15_PERCENT,ANTAL 15-16_PERCENT,ANTAL 16-17_PERCENT,ANTAL 17-18_PERCENT,ANTAL 18-19_PERCENT,SUM ANTAL_PERCENT
153024,6393,71,HORSEBAKKEN 63 n.f. Mosesvinget,2020,09/01/2020,Mod nord (Gladsaxe),A+B: KØRETØJER I ALT,94,118,68,46,59,60,63,90,167,152,130,88,1135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153025,6393,71,HORSEBAKKEN 63 n.f. Mosesvinget,2020,09/01/2020,Mod nord (Gladsaxe),CYKLER + KNALLERTER I ALT,67,66,22,18,41,22,25,71,103,141,111,61,748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
141489,5905,71,HORSEBAKKEN 63 n.f. Mosesvinget,2016,04/26/2016,Mod syd (byen),A: LET TRAFIK I ALT,218,167,71,62,55,67,71,77,163,184,135,95,1365,0.9775784753363229,0.9881656804733728,0.9342105263157895,0.9393939393939394,0.9649122807017544,0.9710144927536232,0.9466666666666667,0.9746835443037974,0.9760479041916168,0.989247311827957,0.9926470588235294,0.9693877551020408,0.974304068522484
141492,5905,71,HORSEBAKKEN 63 n.f. Mosesvinget,2016,04/26/2016,Mod syd (byen),B: TUNG TRAFIK I ALT,5,2,5,4,2,2,4,2,4,2,1,3,36,0.02242152466367713,0.011834319526627219,0.06578947368421052,0.06060606060606061,0.03508771929824561,0.028985507246376812,0.05333333333333334,0.02531645569620253,0.023952095808383235,0.010752688172043012,0.007352941176470588,0.030612244897959183,0.02569593147751606
141493,5905,71,HORSEBAKKEN 63 n.f. Mosesvinget,2016,04/26/2016,Mod syd (byen),A+B: KØRETØJER I ALT,223,169,76,66,57,69,75,79,167,186,136,98,1401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
141494,5905,71,HORSEBAKKEN 63 n.f. Mosesvinget,2016,04/26/2016,Mod syd (byen),CYKLER + KNALLERTER I ALT,94,105,23,25,9,8,9,22,25,42,23,22,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151294,6303,71,HORSEBAKKEN 63 n.f. Mosesvinget,2019,05/15/2019,Mod syd (byen),A: LET TRAFIK I ALT,218,173,82,53,57,63,79,113,165,219,166,103,1491,0.9954337899543378,0.9611111111111111,0.9647058823529412,0.9636363636363636,0.9827586206896551,0.9545454545454546,0.9518072289156626,0.9826086956521739,0.9939759036144579,0.9864864864864865,0.9940119760479041,0.9626168224299065,0.9789888378200919
151297,6303,71,HORSEBAKKEN 63 n.f. Mosesvinget,2019,05/15/2019,Mod syd (byen),B: TUNG TRAFIK I ALT,1,7,3,2,1,3,4,2,1,3,1,4,32,0.0045662100456621,0.03888888888888889,0.03529411764705882,0.03636363636363636,0.017241379310344827,0.045454545454545456,0.04819277108433735,0.017391304347826087,0.006024096385542169,0.013513513513513514,0.005988023952095809,0.037383177570093455,0.021011162179908074
151298,6303,71,HORSEBAKKEN 63 n.f. Mosesvinget,2019,05/15/2019,Mod syd (byen),A+B: KØRETØJER I ALT,219,180,85,55,58,66,83,115,166,222,167,107,1523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151299,6303,71,HORSEBAKKEN 63 n.f. Mosesvinget,2019,05/15/2019,Mod syd (byen),CYKLER + KNALLERTER I ALT,169,162,42,15,26,18,31,33,63,77,63,44,743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
