række,database_id,TS,VEJNAVN,ÅR,DATO,RETNING,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,SUM ANTAL,ANTAL 7-8_PERCENT,ANTAL 8-9_PERCENT,ANTAL 9-10_PERCENT,ANTAL 10-11_PERCENT,ANTAL 11-12_PERCENT,ANTAL 12-13_PERCENT,ANTAL 13-14_PERCENT,ANTAL 14-15_PERCENT,ANTAL 15-16_PERCENT,ANTAL 16-17_PERCENT,ANTAL 17-18_PERCENT,ANTAL 18-19_PERCENT,SUM ANTAL_PERCENT
130876,5481,487,Holbækmotorvejen v.f. Sønderkær ,2013,05/15/2013,ØST (MOD KØBENHAVN),BUSSER I FAST RUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130877,5481,487,Holbækmotorvejen v.f. Sønderkær ,2013,05/15/2013,ØST (MOD KØBENHAVN),ANDRE BUSSER,7,9,4,8,2,2,6,3,13,6,3,3,66,0.0035353535353535356,0.004754358161648178,0.002157497303128371,0.005606166783461808,0.0015313935681470138,0.001516300227445034,0.004545454545454545,0.002027027027027027,0.007072905331882481,0.0030472320975114273,0.0018450184501845018,0.0024232633279483036,0.0034285714285714284
130879,5481,487,Holbækmotorvejen v.f. Sønderkær ,2013,05/15/2013,ØST (MOD KØBENHAVN),A+B: KØRETØJER I ALT,1980,1893,1854,1427,1306,1319,1320,1480,1838,1969,1626,1238,19250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130880,5481,487,Holbækmotorvejen v.f. Sønderkær ,2013,05/15/2013,ØST (MOD KØBENHAVN),LADCYKLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130881,5481,487,Holbækmotorvejen v.f. Sønderkær ,2013,05/15/2013,ØST (MOD KØBENHAVN),CYKLER + KNALLERTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130882,5481,487,Holbækmotorvejen v.f. Sønderkær ,2013,05/15/2013,ØST (MOD KØBENHAVN),CYKLER + KNALLERTER I ALT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138522,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD NORD (GLADSAXE),PERSONBILER + MC,247,273,129,97,128,139,140,176,232,289,211,176,2237,0.7866242038216561,0.8374233128834356,0.7371428571428571,0.6689655172413793,0.7191011235955056,0.7595628415300546,0.7821229050279329,0.775330396475771,0.8083623693379791,0.85,0.8274509803921568,0.8421052631578947,0.7938254080908446
138523,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD NORD (GLADSAXE),"VAREVOGNE (MAX. 3,5 t)",54,40,39,44,43,40,36,41,46,42,34,26,485,0.17197452229299362,0.12269938650306748,0.22285714285714286,0.30344827586206896,0.24157303370786518,0.2185792349726776,0.2011173184357542,0.18061674008810572,0.1602787456445993,0.12352941176470589,0.13333333333333333,0.12440191387559808,0.17210787792760823
138525,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD NORD (GLADSAXE),LASTBILER,5,6,0,2,3,1,1,4,1,1,1,0,25,0.01592356687898089,0.018404907975460124,0.0,0.013793103448275862,0.016853932584269662,0.00546448087431694,0.00558659217877095,0.01762114537444934,0.003484320557491289,0.0029411764705882353,0.00392156862745098,0.0,0.008871540099361249
138526,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD NORD (GLADSAXE),BUSSER,8,7,7,2,4,3,2,6,8,8,9,7,71,0.025477707006369428,0.02147239263803681,0.04,0.013793103448275862,0.02247191011235955,0.01639344262295082,0.0111731843575419,0.02643171806167401,0.027874564459930314,0.023529411764705882,0.03529411764705882,0.03349282296650718,0.025195173882185947
138528,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD NORD (GLADSAXE),A+B: KØRETØJER I ALT,314,326,175,145,178,183,179,227,287,340,255,209,2818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138529,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD NORD (GLADSAXE),CYKLER + KNALLERTER I ALT,54,65,16,12,6,5,7,14,15,25,26,13,258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138530,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD SYD (TINGBJERG),PERSONBILER + MC,247,225,139,90,134,131,142,195,299,373,212,174,2361,0.8045602605863192,0.8272058823529411,0.8081395348837209,0.7142857142857143,0.7486033519553073,0.7616279069767442,0.8208092485549133,0.76171875,0.844632768361582,0.8923444976076556,0.848,0.8325358851674641,0.8175207756232687
